comp_id,event,j1_name,j2_name,j3_name,j4_name,j5_name,j6_name,j7_name,j8_name,j9_name,j1_nat,j2_nat,j3_nat,j4_nat,j5_nat,j6_nat,j7_nat,j8_nat,j9_nat
GPCAN_1213,MEN_FS,Kenji AMAKO,Anne G SHEAN,Prisca BINZ-MOSER,Elisabeth LOUESDON,Leslie KEEN,Daniela TACCANI,Daniel DELFA,Lone VILLEFRANCE,Igor OBRAZTSOV,JPN,USA,SUI,FRA,CAN,ITA,ESP,DEN,RUS
GPF_1213,MEN_FS,Jodi ABBOTT,Marta OLOZAGARRE,Philippe MERIGUET,Richard KOSINA,Samuel AUXIER,Yumin WANG,Merja KOSONEN,Tomie FUKUDOME,Igor OBRAZTSOV,CAN,ESP,FRA,CZE,USA,CHN,FIN,JPN,RUS
GPRUS_1314,MEN_FS,Leslie KEEN,Kristina LUNDGREN,Nobuhiko YOSHIOKA,Elke TREITZ,David MUNOZ,Elisabeth LOUESDON,Alexei SHIRSHOV,Vladislav PETUKHOV,Igor OBRAZTSOV,CAN,USA,JPN,GER,ESP,FRA,BLR,UKR,RUS
GPRUS_1011,LADIES_FS,Anne CAMMETT,Tiziana MORANDI,Leslie KEEN,Zanna KULIK,Lenka BOHUNICKA,Diana BARBACCI LEVY,Masako KUBOTA,Helene CUCUPHAT,Igor OBRAZTSOV,USA,ITA,CAN,EST,SVK,SUI,JPN,FRA,RUS
GPJPN_1112,MEN_FS,Elisabeth LOUESDON,Daniela TACCANI,Yumin WANG,Ayumi KOZUKA,Miroslav MISUREC,Hal MARRON,Tricia MORITZ,Jean SENFT,Igor OBRAZTSOV,FRA,ITA,CHN,JPN,CZE,USA,AUS,CAN,RUS
GPUSA_1516,MEN_FS,Weiguang CHEN,Nicole LEBLANC-RICHARD,Nobuhiko YOSHIOKA,Anthony LEROY,Yuri GUSKOV,Anna KANTOR,Todd BROMLEY,Alexandra FORD,Igor OBRAZTSOV,CHN,CAN,JPN,FRA,KAZ,ISR,USA,AUS,RUS
GPUSA_1314,MEN_FS,Florence VUYLSTEKER,Karen HOWARD,Masako KUBOTA,William S SMITH,Yuri GUSKOV,Maira ABASOVA,Massimo ORLANDINI,Laimute KRAUZIENE,Mona JONSSON,FRA,CAN,JPN,USA,KAZ,RUS,ITA,LTU,SWE
GPUSA_1314,LADIES_FS,Robert ROSENBLUTH,Massimo ORLANDINI,Mayumi KATO,Salome CHIGOGIDZE,Karen HOWARD,Florence VUYLSTEKER,Wendy LANGTON,Alexander KOGAN,Mona JONSSON,USA,ITA,JPN,GEO,CAN,FRA,AUS,RUS,SWE
EC_1314,MEN_SP,Elizabeth LITTLER,Donatella LEONELLI,Mona JONSSON,Igor OBRAZTSOV,Irina MEDVEDEVA,Hanna THEN,Stanislava SMIDOVA,Laimute KRAUZIENE,Ebru ANILDI,GBR,SUI,SWE,RUS,AZE,POL,CZE,LTU,TUR
EC_1718,LADIES_SP,Adrienn SCHADENBAUER,Kari-Anne OLSEN,Saioa SANCHO,Ann FINDLAY,Zanna KULIK,Donatella LEONELLI,Julia ANDREEVA,Attila SOOS,Ebru ANILDI,AUT,NOR,ESP,GBR,EST,SUI,RUS,HUN,TUR
EC_1617,MEN_SP,Olga KOZHEMYAKINA,Karin EHRHARDT,Kristina HOUWING,Ekaterina SEROVA,Kari-Anne OLSEN,Agnieszka SWIDERSKA,Ulla FAIG,Bettina MEIER,Ebru ANILDI,RUS,AUT,SWE,BLR,NOR,POL,GER,SUI,TUR
WC_1516,LADIES_FS,Igor FEDCHENKO,Elisabeth LOUESDON,Na Young AHN,Nicole VAN GERWEN-MAAS,Jana BAUDYSOVA,Leena KURRI,Jean SENFT,Laimute KRAUZIENE,Ayumi KOZUKA,UKR,FRA,KOR,NED,CZE,FIN,CAN,LTU,JPN
GPF_1617,MEN_FS,Feng HUANG,Philippe MERIGUET,Beth CRANE,Lorrie PARKER,Jung-Sue LEE,Julia ANDREEVA,Anna KANTOR,Marta OLOZAGARRE,Ayumi KOZUKA,CHN,FRA,CAN,USA,KOR,RUS,ISR,ESP,JPN
GPJPN_1112,MEN_SP,Miroslav MISUREC,Igor OBRAZTSOV,Tricia MORITZ,Daniela TACCANI,Hal MARRON,Yumin WANG,Elisabeth LOUESDON,Jean SENFT,Ayumi KOZUKA,CZE,RUS,AUS,ITA,USA,CHN,FRA,CAN,JPN
GPCAN_1718,MEN_SP,Deborah ISLAM,Philippe MERIGUET,Tae Ri LEE,Lolita LABUNSKAIYA,Roger GLENN,Francoise DE RAPPARD,Alison RYAN,Vera TAUCHMANOVA,Ayumi KOZUKA,CAN,FRA,KOR,RUS,USA,BEL,AUS,CZE,JPN
GPCAN_1718,MEN_FS,Deborah ISLAM,Philippe MERIGUET,Tae Ri LEE,Lolita LABUNSKAIYA,Roger GLENN,Francoise DE RAPPARD,Alison RYAN,Vera TAUCHMANOVA,Ayumi KOZUKA,CAN,FRA,KOR,RUS,USA,BEL,AUS,CZE,JPN
GPF_1415,LADIES_SP,Elena FOMINA,Tomie FUKUDOME,Tamie CAMPBELL,Leslie KEEN,Feng HUANG,Daniel DELFA,Valerie GREUGNY,Allan BOEHM,Attila SOOS,RUS,JPN,USA,CAN,CHN,ESP,FRA,SVK,HUN
GPRUS_1112,MEN_SP,Samuel AUXIER,Jana BAUDYSOVA,Noriko SHIROTA,Laimute KRAUZIENE,Igor DOLGUSHIN,Andrea DERBY,Tiziana MIORINI,Saioa SANCHO,Attila SOOS,USA,CZE,JPN,LTU,RUS,CAN,ITA,ESP,HUN
GPRUS_1213,LADIES_SP,Olga KOZHEMYAKINA,Anne CAMMETT,Peter LEVIN,Daniel DELFA,Noriko SHIROTA,Nikolai SALNIKOV,Leanna CARON,Mika SAARELAINEN,Attila SOOS,RUS,USA,SWE,ESP,JPN,EST,CAN,FIN,HUN
GPF_1415,MEN_SP,Jung-Sue LEE,Yumin WANG,Julia ANDREEVA,Yukiko OKABE,Susan HEFFERNAN,Jarmila PORTOVA,Marta OLOZAGARRE,Allan BOEHM,Joseph INMAN,KOR,CHN,RUS,JPN,CAN,CZE,ESP,SVK,USA
WC_1718,LADIES_FS,Masako KUBOTA,Natalia KRUGLOVA,Matjaz KRUSEC,Marketa HORKLOVA,Francoise DE RAPPARD,Pirjo ELO,Lynne DEY,Allan BOEHM,Catherine TAYLOR,JPN,UKR,SVN,CZE,BEL,FIN,CAN,SVK,AUS
GPCAN_1112,MEN_SP,Valerie GREUGNY,Karen HOWARD,Christine BLANC,Kitty DELIO LAFORTE,Yukiko OKABE,Daniel DELFA,Yuri GUSKOV,Heinz-Ulrich WALTHER,Katarina HENRIKSSON,FRA,CAN,SUI,USA,JPN,ESP,KAZ,GER,SWE
GPRUS_1415,MEN_FS,Kristina LUNDGREN,Igor DOLGUSHIN,Andre-Marc ALLAIN,Alexei SHIRSHOV,Massimo ORLANDINI,Masako KUBOTA,Jarmila PORTOVA,Daniel DELFA,Katarina HENRIKSSON,USA,RUS,CAN,BLR,ITA,JPN,CZE,ESP,SWE
GPCHN_1718,MEN_SP,Mark STORTON,Lorrie PARKER,Janice HUNTER,Weiguang CHEN,Nobuhiko YOSHIOKA,Walter TOIGO,Maira ABASOVA,Daniel DELFA,Katarina HENRIKSSON,AUS,USA,CAN,CHN,JPN,ITA,RUS,ESP,SWE
GPCHN_1718,MEN_FS,Mark STORTON,Lorrie PARKER,Janice HUNTER,Weiguang CHEN,Nobuhiko YOSHIOKA,Walter TOIGO,Maira ABASOVA,Daniel DELFA,Katarina HENRIKSSON,AUS,USA,CAN,CHN,JPN,ITA,RUS,ESP,SWE
GPRUS_1415,MEN_SP,Masako KUBOTA,Alexei SHIRSHOV,Igor DOLGUSHIN,Kristina LUNDGREN,Jarmila PORTOVA,Massimo ORLANDINI,Andre-Marc ALLAIN,Daniel DELFA,Katarina HENRIKSSON,JPN,BLR,RUS,USA,CZE,ITA,CAN,ESP,SWE
GPRUS_1415,LADIES_SP,Jung-Sue LEE,Attila SOOS,Mayumi KATO,Olga KOZHEMYAKINA,Andre-Marc ALLAIN,Elke TREITZ,Kristina LUNDGREN,Irina MEDVEDEVA,Katarina HENRIKSSON,KOR,HUN,JPN,RUS,CAN,GER,USA,AZE,SWE
GPUSA_1617,MEN_FS,Kristina LUNDGREN,Alexei BELETSKI,Maira ABASOVA,Lisa JELINEK,Cynthia BENSON,Franco BENINI,Yuri GUSKOV,Masako KUBOTA,Tianyi ZHANG,USA,ISR,RUS,AUS,CAN,ITA,KAZ,JPN,CHN
4CC_1314,LADIES_FS,Joanna MILLER,Susan BLATZ,Na Young AHN,Neil GARRARD,Paula M NAUGHTON,Weiguang CHEN,Ariadna MORONES NEGRETE,Masako KUBOTA,Susan PETRICEVIC,AUS,CAN,KOR,ZAF,USA,CHN,MEX,JPN,NZL
4CC_1516,LADIES_SP,Angelique CLYDE-SMITH,Sasha MARTINEZ,Sakae YAMAMOTO,Nicole LEBLANC-RICHARD,Wendy ENZMANN,Na Young AHN,Yumin WANG,Neil GARRARD,Susan PETRICEVIC,AUS,MEX,JPN,CAN,USA,KOR,CHN,ZAF,NZL
GPFRA_1617,MEN_SP,Elisabeth LOUESDON,Massimo ORLANDINI,Masako KUBOTA,Steve WINKLER,Olga KOZHEMYAKINA,Saodat NUMANOVA,Yuri GUSKOV,Francoise DE RAPPARD,Daniel DELFA,FRA,ITA,JPN,USA,RUS,UZB,KAZ,BEL,ESP
GPCHN_1516,MEN_FS,Sung-Hee KOH,Dan CHEN,Kenji AMAKO,Alla SHEKHOVTSOVA,Lorrie PARKER,Saodat NUMANOVA,Dan FANG,Sally REHORICK,Daniel DELFA,KOR,HKG,JPN,RUS,USA,UZB,CHN,CAN,ESP
GPF_1011,MEN_FS,Ulf DENZER,Yukiko OKABE,Roger GLENN,Jarmila PORTOVA,Hailan JIANG,Francis BETSCH,Elena FOMINA,Francoise DE RAPPARD,Deborah ISLAM,GER,JPN,USA,CZE,CHN,FRA,RUS,BEL,CAN
GPF_1920,MEN_SP,Anthony LEROY,Wei SHI,Elisabeth BINDER,Olga KOZHEMYAKINA,Mami MAEDA,Walter TOIGO,Wendy ENZMANN,Salome CHIGOGIDZE,Deborah ISLAM,FRA,CHN,AUT,RUS,JPN,ITA,USA,GEO,CAN
GPF_1920,MEN_FS,Anthony LEROY,Wei SHI,Elisabeth BINDER,Olga KOZHEMYAKINA,Mami MAEDA,Walter TOIGO,Wendy ENZMANN,Salome CHIGOGIDZE,Deborah ISLAM,FRA,CHN,AUT,RUS,JPN,ITA,USA,GEO,CAN
GPFRA_1415,LADIES_SP,Vera TAUCHMANOVA,Francis BETSCH,Leanna CARON,Lolita LABUNSKAIYA,Tiziana MORANDI,Joyce D KOMPERDA,Ayumi KOZUKA,Francoise DE RAPPARD,Yumin WANG,CZE,FRA,CAN,RUS,ITA,USA,JPN,BEL,CHN
GPFRA_1415,LADIES_FS,Tiziana MORANDI,Ayumi KOZUKA,Lolita LABUNSKAIYA,Francoise DE RAPPARD,Leanna CARON,Joyce D KOMPERDA,Vera TAUCHMANOVA,Francis BETSCH,Yumin WANG,ITA,JPN,RUS,BEL,CAN,USA,CZE,FRA,CHN
GPF_1112,MEN_SP,Alla SHEKHOVTSOVA,Leanna CARON,Sakae YAMAMOTO,Daniel DELFA,Jarmila PORTOVA,Yury KLIUSHNIKOV,Robert ROSENBLUTH,Francis BETSCH,Yumin WANG,RUS,CAN,JPN,ESP,CZE,AZE,USA,FRA,CHN
GPCHN_1920,LADIES_SP,Hye Yong YUN,Patricia MORITZ,Andre-Marc ALLAIN,Tomie FUKUDOME,Melody Tan Tan YIP,Chihee RHEE,Alexei BELETSKI,Elena FOMINA,Yumin WANG,PRK,AUS,CAN,JPN,HKG,KOR,ISR,RUS,CHN
GPCHN_1920,LADIES_FS,Hye Yong YUN,Patricia MORITZ,Andre-Marc ALLAIN,Tomie FUKUDOME,Melody Tan Tan YIP,Chihee RHEE,Alexei BELETSKI,Elena FOMINA,Yumin WANG,PRK,AUS,CAN,JPN,HKG,KOR,ISR,RUS,CHN
GPUSA_1415,MEN_SP,Alexei BELETSKI,Philippe MERIGUET,Leslie KEEN,Tamie CAMPBELL,Lolita LABUNSKAIYA,Mami MAEDA,Kylie Anne YACOPETTI,Francoise DE RAPPARD,Yuri GUSKOV,ISR,FRA,CAN,USA,RUS,JPN,AUS,BEL,KAZ
GPFRA_1718,LADIES_SP,Daniela TACCANI,Jean SENFT,Elisabeth LOUESDON,Olga KOZHEMYAKINA,Dan FANG,Malgorzata SOBKOW,Yuko OGAWA,Peggy GRAHAM,Yuri GUSKOV,ITA,CAN,FRA,RUS,CHN,POL,JPN,USA,KAZ
